id,post_id,thread_id,type,comment_id,old_visual_id,visual_id,issue,formula
1,9,1,comment,4598590.0,1294,1294,, <semantics><mi>π</mi></semantics> 
2,2453,1,answer,,115,115,, <semantics><mi>X</mi></semantics> 
3,2453,1,answer,,40826,40826,, <semantics><mi>P</mi><mo>⁢</mo><mo>(</mo><mi>X</mi><mo>)</mo></semantics> 
4,2453,1,answer,,1,1,, <semantics><mi>f</mi></semantics> 
5,2453,1,answer,,115,115,, <semantics><mi>X</mi></semantics> 
6,2453,1,answer,,40826,40826,, <semantics><mi>P</mi><mo>⁢</mo><mo>(</mo><mi>X</mi><mo>)</mo></semantics> 
7,2453,1,answer,,1,1,, <semantics><mi>f</mi></semantics> 
8,2453,1,answer,,40826,40826,, <semantics><mi>P</mi><mo>⁢</mo><mo>(</mo><mi>X</mi><mo>)</mo></semantics> 
9,2453,1,answer,,403,403,, <semantics><mi>S</mi></semantics> 
10,2453,1,answer,,1,1,, <semantics><mi>f</mi></semantics> 
12,2453,1,answer,,67,67,, <semantics><mi>x</mi></semantics> 
13,2453,1,answer,,115,115,, <semantics><mi>X</mi></semantics> 
14,2453,1,answer,,67,67,, <semantics><mi>x</mi></semantics> 
15,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
16,2453,1,answer,,67,67,, <semantics><mi>x</mi></semantics> 
17,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
18,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
19,2453,1,answer,,67,67,, <semantics><mi>x</mi></semantics> 
20,2453,1,answer,,1805,1805,, <semantics><mi>f</mi><mo>⁢</mo><mo>(</mo><mi>x</mi><mo>)</mo></semantics> 
21,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
22,2453,1,answer,,1805,1805,, <semantics><mi>f</mi><mo>⁢</mo><mo>(</mo><mi>x</mi><mo>)</mo></semantics> 
24,2453,1,answer,,319,319,, <semantics><mi>T</mi></semantics> 
